0x000001E5B2D5B3A0, 37999999732632104, 242471693, 242471758, 65, 1600x900 
0x000001E5B2D5B3A0, 37999999737972088, 242472221, 242472241, 20, 1600x900 
0x000001E5B2D5B3A0, 37999999743325744, 242472758, 242472773, 15, 1600x900 
0x000001E5B2D5B3A0, 37999999748672648, 242473287, 242473303, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999754027848, 242473827, 242473844, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999759370232, 242474377, 242474393, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999764715800, 242474897, 242474913, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999770057184, 242475433, 242475449, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999775398440, 242475965, 242475981, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999780747128, 242476497, 242476513, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999786097944, 242477036, 242477052, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999791441856, 242477574, 242477591, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999796792160, 242478107, 242478123, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999802143824, 242478640, 242478657, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999807488064, 242479169, 242479186, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999812829976, 242479708, 242479724, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999818178616, 242480241, 242480257, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999823533360, 242480778, 242480794, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999828884216, 242481313, 242481329, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999834238040, 242481845, 242481862, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999839589608, 242482381, 242482397, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999844940240, 242482920, 242482937, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999850285384, 242483450, 242483466, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999855631376, 242483988, 242484004, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999860985824, 242484521, 242484537, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999866333456, 242485059, 242485075, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999871686008, 242485593, 242485610, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999877032488, 242486129, 242486146, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999882389280, 242486663, 242486679, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999887734648, 242487198, 242487214, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999893077688, 242487733, 242487750, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999898428096, 242488268, 242488284, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999903786176, 242488803, 242488818, 15, 1600x900 
0x000001E5B2D5B3A0, 37999999909135864, 242489336, 242489351, 15, 1600x900 
0x000001E5B2D5B3A0, 37999999914484352, 242489870, 242489886, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999919832288, 242490405, 242490422, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999925178816, 242490941, 242490958, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999930526808, 242491474, 242491491, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999935874256, 242492008, 242492025, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999941214368, 242492548, 242492564, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999946559904, 242493080, 242493097, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999951900832, 242493611, 242493628, 17, 1600x900 
0x000001E5B2D5B3A0, 37999999957245152, 242494148, 242494164, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999962598648, 242494681, 242494697, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999967946720, 242495236, 242495252, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999973290256, 242495747, 242495763, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999978640304, 242496284, 242496300, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999983991128, 242496822, 242496838, 16, 1600x900 
0x000001E5B2D5B3A0, 37999999989342880, 242497356, 242497371, 15, 1600x900 
0x000001E5B2D5B3A0, 37999999994693632, 242497890, 242497906, 16, 1600x900 
0x000001E5B2D5B3A0, 38000000000044120, 242498427, 242498444, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000005388352, 242498960, 242498977, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000010738896, 242499494, 242499511, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000016082512, 242500027, 242500043, 16, 1600x900 
0x000001E5B2D5B3A0, 38000000021426192, 242500564, 242500580, 16, 1600x900 
0x000001E5B2D5B3A0, 38000000026771496, 242501097, 242501114, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000032114960, 242501634, 242501650, 16, 1600x900 
0x000001E5B2D5B3A0, 38000000037464168, 242502167, 242502184, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000042810832, 242502701, 242502718, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000048157120, 242503239, 242503256, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000053507752, 242503771, 242503788, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000058856872, 242504311, 242504328, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000064208592, 242504846, 242504863, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000069561952, 242505380, 242505397, 17, 1600x900 
0x000001E5B2D5B3A0, 38000000074906552, 242505913, 242505930, 17, 1600x900 
